source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
,-105.5305958,50.3918782,Rosewood Housing Co-operative Ltd.,Co-operative Housing,,,"140 High Street East, Moose Jaw, Saskatchewan S6H 0C3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-105.5526815,50.4120709,Silverwood Estates Housing Co-operative Ltd.,Co-operative Housing,,,"14 Nettle Place, #25, Moose Jaw, Saskatchewan S6J 1H8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-101.667,50.14364,South East Saskatchewan Housing Co-operative Ltd.,Co-operative Housing,,,"Moosomin Post Office, P.O. Box 326, Moosomin, Saskatchewan S0G 3N0",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-104.5602027,50.4507634,Stewart Court Housing Co-operative,Co-operative Housing,,,"1717 Oxford Street, Regina, Saskatchewan S4N 6K3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-105.5601687,50.3820515,The Esquire Housing Co-operative Ltd.,Co-operative Housing,,Please call (306) 691-5596 for more information.,"971 Coteau Street West, #18, Moose Jaw, Saskatchewan S6H 5G1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-104.5603627,50.4515422,The George Taylor Seniors Housing Co-operative,Co-operative Housing,,,"1703 Oxford Street, Regina, Saskatchewan S4N 6J5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
https://quintsaskatoon.ca/programs/apply-rental-housing/,-106.7044185,52.1279729,Quint – Paul Wilkinson Place,Mixed,Quint Saskatoon,"Our program was developed as part of a larger strategy to revitalize Saskatoon’s core neighbourhoods. Stable, safe and affordable housing is necessary for the well-being of individuals, families, and communities.","136 Avenue U S
Saskatoon, SK S7M 3B8",,https://quintsaskatoon.ca/programs/apply-rental-housing/,
,-106.6864058,52.1221788,Quint – Kikino,Mixed,Quint Saskatoon,"Our program was developed as part of a larger strategy to revitalize Saskatoon’s core neighbourhoods. Stable, safe and affordable housing is necessary for the well-being of individuals, families, and communities.","522 Avenue J S
Saskatoon, SK S7M 2A8",,https://quintsaskatoon.ca/programs/apply-rental-housing/,
,-106.7035079,52.1279494,Quint – Oskikamik,Mixed,Quint Saskatoon,"Our program was developed as part of a larger strategy to revitalize Saskatoon’s core neighbourhoods. Stable, safe and affordable housing is necessary for the well-being of individuals, families, and communities.","137 Avenue T S
Saskatoon, SK S7M 3A7",,https://quintsaskatoon.ca/programs/apply-rental-housing/,
,-106.6924587,52.124603,Quint Condos,Mixed,Quint Saskatoon,"Our program was developed as part of a larger strategy to revitalize Saskatoon’s core neighbourhoods. Stable, safe and affordable housing is necessary for the well-being of individuals, families, and communities.","19th St W & Avenue N South
Saskatoon, SK S7M 2N2",,https://quintsaskatoon.ca/programs/apply-rental-housing/,
,-106.7043114,52.1277301,Quint – Oski Mācipayin,Mixed,Quint Saskatoon,"Our program was developed as part of a larger strategy to revitalize Saskatoon’s core neighbourhoods. Stable, safe and affordable housing is necessary for the well-being of individuals, families, and communities.","21 St W
Saskatoon, SK S7M 3B8",,https://quintsaskatoon.ca/programs/apply-rental-housing/,
https://www.shipweb.ca/,-106.7354829,52.1263258,Terra Housing Co-operative Ltd.,Co-operative Housing,Terra Housing Co-operative Ltd.,Please call (306) 978-0252 for more information.,"100 - 135 McCormack Road, Saskatoon, Saskatchewan S7M 5K4",48,https://www.shipweb.ca/terra-housing-cooperative,
