source,longitude,latitude,title,propertytype,provider,description,address,totalunits,affunits,rgiunits,url
,-75.696917,45.416055,Cartier Square Co-op,Co-operative Housing,,,"1456 Cooper Street, Ottawa, Ontario K2P 2N1",67,,,https://chaseo.coop/co-op-directory/
,-75.8797477,45.2923368,Castlefrank Co-op,Co-operative Housing,,,"1 Torcastle Way, Kanata, ON K2L 2Y5",64,,,http://castlefrankcoop.com/
,-75.6831086,45.4154129,Catalpa Co-op,Co-operative Housing,,,"108 Queen Elizabeth Dr, Ottawa, Ontario K2P 1E5",9,,,https://chaseo.coop/co-op-directory/
,-75.6911487,45.4330367,Co-op d’habitation De LaSalle,Co-operative Housing,,,"4 Michel Riel Private, Ottawa, Ontario, K1N 9J5",,,,https://chaseo.coop/co-op-directory/
,-75.6294694,45.445247,Co-op d’habitation Desloges,Co-operative Housing,,,"10 Desloges Private, Ottawa, Ontario, K1K 4P3",129,,,https://chaseo.coop/co-op-directory/
,-75.6430461,45.3528215,Co-op d’habitation LaFontaine,Co-operative Housing,,,"2843 Chemin Des Mésanges, Gloucester, Ontario, K1T 2C7",70,,,https://chaseo.coop/co-op-directory/
,-75.6724839,45.4191983,Co-op d’habitation Voisins,Co-operative Housing,,,"440 Wiggins Private, Ottawa, Ontario, K1N 1A7",80,,,http://www.coopvoisins.ca/
,-75.7111363,45.411306,Co-op des Jardins,Co-operative Housing,,,"100 ave. Empress, Ottawa, Ontario, K1R 7S6",,,,https://chaseo.coop/co-op-directory/
,-75.6828778,45.4351977,Co-operative d’habitation Brebeuf,Co-operative Housing,,,"3 Desjardins Av Ottawa, ON K1N 9E2",52,,,https://chaseo.coop/co-op-directory/
,-75.6868204,45.3465903,Coady Co-op,Co-operative Housing,,,"3099 Uplands Dr. Ottawa, Ontario, K1V 9T6",74,,,https://chaseo.coop/co-op-directory/
,-75.6721093,45.4217002,Conservation Co-op,Co-operative Housing,,,"140 Mann Avenue, Ottawa, Ontario K1N 1E5",84,,,http://www.conscoop.net/
,-75.5426217,45.4630948,Coopérative d’habitation Côté-Est,Co-operative Housing,,,"1940 St Joseph Blvd, Orléans, ON K1C 1E4",84,,,https://chaseo.coop/co-op-directory/
,-75.7089221,45.4103968,Dalhousie Co-op,Co-operative Housing,,,"224-211 Bronson Ave, Ottawa, ON, K1R 6H5",84,,,http://www.dalhousiecoop.ca/
,-75.6176788,45.3991035,Daly Co-op,Co-operative Housing,,,"100-2410 Southvale Cr, Ottawa, Ontario, K1B 5K2",88,,,https://chaseo.coop/co-op-directory/
,-75.8646673,45.2930864,Dobbin Co-op,Co-operative Housing,,,"2 Dobbin Lane, Kanata, Ontario K2M 2J5",47,,,https://chaseo.coop/co-op-directory/
,-75.7434985,45.3844209,Dovercourt Co-op,Co-operative Housing,,,"25 Molenaar Private, Ottawa, Ontario, K1Z 8R5",40,,,http://www.dovercourthousingcoop.ca/
,-75.7228049,45.3446501,Eastern Ontario Christian Senior Citizens Co-op,Co-operative Housing,,,"220 Viewmount Dr. Nepean, ON, K2E 7M5",135,,,https://220-224viewmount.ca/
,-75.8313516,45.3132593,Eileen Tallman Co-op,Co-operative Housing,,,"109-850 Seyton Dr. Ottawa, Ontario K2H 9G7",60,,,https://chaseo.coop/co-op-directory/
,-75.6197695,45.3977861,Elmvale Co-op,Co-operative Housing,,,"101-60 Dwellingham Private, Ottawa, ON, K1G 5T1",37,,,https://chaseo.coop/co-op-directory/
,-75.6404816,45.3754521,Fairlea Park Co-op,Co-operative Housing,,,"3019 Fairlea Crescent Ottawa, Ontario, K1V 0N8",93,,,https://chaseo.coop/co-op-directory/
,-75.629374,45.449459,Glen Haddrell Co-op,Co-operative Housing,,,"209 Provender Ave., Ottawa, Ontario K1K 4N8",85,,,https://chaseo.coop/co-op-directory/
,-75.5362147,45.4766462,Ideal Village Co-op,Co-operative Housing,,,"1176 Orleans Blvd. Orleans, Ontario K1C 2W1",70,,,https://chaseo.coop/co-op-directory/
,-75.6688179,45.4354778,Jeanneville Co-op,Co-operative Housing,,,"32 Jeanneville Private, Ottawa, Ontario, K1L 8K2",,,,https://chaseo.coop/co-op-directory/
,-75.6510297,45.4440612,Mario de Giovanni Co-op,Co-operative Housing,,,"520 St. Laurent Blvd, Ottawa, ON, K1K 4N1",,,,https://chaseo.coop/co-op-directory/
,-75.6377154,45.3415923,McLean Co-op,Co-operative Housing,,,"343 Parkin Circle, Ottawa, Ontario, K1T 0C9",,,,https://chaseo.coop/co-op-directory/
,-75.717011,45.347998,Quality Living Co-op,Co-operative Housing,,,"3A Europa Private, Ottawa Ontario K2E 7R5",104,,,https://chaseo.coop/co-op-directory/
,-75.6744404,45.3529805,Quarry Co-op,Co-operative Housing,,,"3275 McCarthy Road, Ottawa, Ontario, K1V 9M8",244,,,http://www.quarrycoop.com/
,-75.2919983,45.5529072,Rochelandaise Housing Co-operative,Co-operative Housing,,,"1500 Rochelandaise, Rockland, ON K4K 1E2",,,,https://chaseo.coop/co-op-directory/
,-75.679659,45.421464,Sandy Hill Co-op,Co-operative Housing,,,"701 E King Edward Ave. Ottawa, Ontario K1N 7N9",,,,http://www.sandyhill.coop/
,-75.6193605,45.3494026,Sawmill Creek Co-op,Co-operative Housing,,,"1828 Sawmill Creek, Ottawa, Ontario, K1T 2E6",30,,,https://chaseo.coop/co-op-directory/
,-75.6698799,45.3503809,Sequoia Co-op,Co-operative Housing,,,"34-101 Twyford St. Ottawa, Ontario, K1V 0V4",59,,,https://chaseo.coop/co-op-directory/
,-75.7108872,45.3980481,Sidney Towers Co-op,Co-operative Housing,,,"7 Sidney St, Ottawa, ON K1S 3L7",41,,,https://chaseo.coop/co-op-directory/
,-75.681716,45.42511,St. Georges Co-op,Co-operative Housing,,,"10 Henderson Ave. Ottawa, Ontario, K1N 7P1",69,,,https://stgeorgeco-op.ca/
,-75.6696385,45.3503131,Tannenhof Co-op,Co-operative Housing,,,"131 Twyford St. Ottawa, Ontario, K1V 0W5",74,,,https://chaseo.coop/co-op-directory/
,-75.74622,45.387121,Westboro Co-op,Co-operative Housing,,,"1-581 Tweedsmuir Ave. Ottawa, Ontario, K1Z 5P1",47,,,www.westborohousingcoop.org
,-75.639388,45.364214,Wingale Co-op,Co-operative Housing,,,"515 Wingale Private, Ottawa, Ontario, K1T 2H3",48,,,https://chaseo.coop/co-op-directory/
,-75.6517187,45.4511241,Yule Manor Co-op,Co-operative Housing,,,"10 Claremont Drive, Ottawa, Ontario, K1K 4J5",96,,,https://chaseo.coop/co-op-directory/
,-75.7168317,44.612041,Brock Seaway Co-op,Co-operative Housing,,,"147-A Dana St., Brockville, ON K6V 5W1",30,,,https://chaseo.coop/co-op-directory/
,-75.6815974,45.4354187,Cooperative d’habitation l’Auberge,Co-operative Housing,,,"8-30 Desjardins Ave, Ottawa, ON, K1N 9M2",10,,,https://chaseo.coop/co-op-directory/
,-75.8977684,45.3277482,Kanata Co-op,Co-operative Housing,,,"1010 Teron Road, Kanata, Ontario K2K 2W4",86,,,https://chaseo.coop/co-op-directory/
,-75.856626,45.2786688,Lao Village Co-op,Co-operative Housing,,,"10 Bridgestone Drive, Kanata, Ontario K2M 2P4",84,,,https://chaseo.coop/co-op-directory/
,-75.6827421,45.4333568,Parc Beausoleil Coopérative d’habitation,Co-operative Housing,,,"10 Heney Street, Ottawa, ON K1N 5V4",10,,,https://chaseo.coop/co-op-directory/
,-75.6934968,45.4174312,Shefford Heritage Co-op,Co-operative Housing,,,"300 Cooper St. Ottawa, Ontario, K2P 0G7",36,,,https://chaseo.coop/co-op-directory/
,-77.3813525,44.1824481,Trent-Moira Co-op,Co-operative Housing,,,"173 Cannifton Rd, Belleville, ON K8N 4V5",51,,,https://chaseo.coop/co-op-directory/
https://communityworksnphc.ca/,-75.6587183,45.4227111,Presland Mews,,,Presland Mews is located at 200-208 Presland Road and was completed in 1987.æ This is our flagship property and we are proud to say that we have been home to families for almost 30 years at this location!,"#200-208 Presland Road, Rideau-Rockcliffe ward",22,,,https://communityworksnphc.ca/presland-mews/
,-75.6236486,45.4300386,Communityworks Place,,,"Communityworks Place was completed in 1989 and consists of 45 1 & 2 bedroom units, including 6 modified units.","1370 Ogilvie Road Ottawa, ON K1K 4P1, Canada",45,,,https://communityworksnphc.ca/communityworks-place/
,-75.732363,45.4038873,"Paterson Walk",,,"Paterson walk was completed in 1990.  A 23 unit four storey walk up building, the project has on-site laundry facilities, a balcony with each unit and surface parking.  This innovative development was OntarioÍs first multi-storey multi-unit apartment building to be manufactured inside a factory and transferred to site.  The $1.8 million project boasted a standard of construction unusual in wood-frame building because the components were manufactured in ideal interior conditions, the quality of the structure was superior to most site-built wood-frame buildings.","8 Bullman StreetOttawa, ONK1Y 2S1",23,,,https://communityworksnphc.ca/paterson-walk/
,-75.6285511,45.4485711,Cliff House,,,"This development has a seven story concrete apartment building with 20 stacked townhouses, two elevators, laundry facilities and a balcony for each unit.","30 Provender Avenue Ottawa, ON K1K 4N6",88,,,https://communityworksnphc.ca/cliff-house/
https://ccochousing.org/for-rent/building-list/,-75.691681,45.410578,258 Argyle Avenue,,,"7-story building in Centretown. Close to everything! Bank Street and Elgin Street shops and services within walking distance. Parks, museum, schools and community centres nearby. Built by CCOC in 1993. Read more (http://ccochousing.org/index.php/ccoc_property/258-argyle-avenue/).",258 Argyle Avenue,,,,
,-75.688934,45.411948,160 Argyle Ave,,,4-story building in Centretown with stacked townhouses at the ground floor. Close to Elgin street and Bank Street. Walk everywhere! Built by CCOC in 2010. Read more (http://ccochousing.org/index.php/ccoc_property/160-argyle-avenue/).,160 Argyle Ave,,,,
,-75.687904,45.411527,464 Metcalfe,,,"8-story building in Centretown. Close to Elgin Street, Bank Street, Bus station, etc. Walk everywhere! Parks, museum, schools, and community centres nearby. Built by CCOC in 2010. Read more (http://ccochousing.org/index.php/ccoc_property/464-metcalfe-street/).",464 Metcalfe,,,,
,-75.696927,45.408333,143 - 153 Arlington Avenue,,,"Stacked rowhouse in Centretown. Walk to Bank Street or Chinatown shops & services. Schools, churches, parks and community centres nearby. Built in 1905. Aquired by CCOC in 1977.Read more (http://ccochousing.org/index.php/ccoc_property/143-153-arlington/).",143 - 153 Arlington Avenue,,,,
,-75.701546,45.406427,283 Arlington Avenue,,,3-story walk-up in Centretown. This building is currently leased to one of our community partners. Built in the 1930s. Aquired by CCOC in 1989. Read more (http://ccochousing.org/index.php/ccoc_property/283-arlington-street/).,283 Arlington Avenue,,,,
,-75.701331,45.406506,298 Arlington Avenue,,,"3-story walk-up in Centretown. Walk to Bank Street or Chinatown shops & restaurants. Close to schools, churches, parks and community centres. Built in 1905. Aquired by CCOC in 1981. Read more (http://ccochousing.org/index.php/ccoc_property/298-arlington-avenue/).",298 Arlington Avenue,,,,
,-75.708289,45.416177,140 Bronson,,,2-story walk-up in Dalhousie. Close to Ottawa River Parkway bike paths and Transitway. Walk to Sparks Street Mall shops and restaurants. Built in the 1940s. Aquired by CCOC in 2000.Read more (http://ccochousing.org/index.php/ccoc_property/140-bronson-avenue/).,140 Bronson,,,,
,-75.703204,45.406458,511 Bronson Avenue,,,6-story building in Centretown. Walk to Chinatown shops and restaurants. 1 block from McNabb Park & Recreation Centre. Schools and churches nearby. Built by CCOC in 1993. Read more (http://ccochousing.org/index.php/ccoc_property/511-bronson-avenue/).,511 Bronson Avenue,,,,
,-75.702581,45.406439,520 Bronson,,,7-story building in Dalhousie. Walk to Chinatown shops and restaurants. 1 block from McNabb Park and Recreation Centre. Schools & churches nearby. Built by CCOC in 1989. Read more (http://ccochousing.org/index.php/ccoc_property/520-bronson-avenue/).,520 Bronson,,,,
,-75.728132,45.40468,212 - 216 Carruthers Avenue,,,"Rowhouse in Hintonburg/Mechanicsville. Located near the Parkdale Market, ideal for families. Close to schools and parks. Transit nearby, and bike path along the Ottawa River Parkway. Built in the 1940s. Aquired by CCOC in 1989.Read more (http://ccochousing.org/index.php/ccoc_property/212-216-carruthers-avenue/).",212 - 216 Carruthers Avenue,,,,
,-75.727504,45.402895,171 Armstrong Street,,,"2-Story walk-up in Hintonburg/Mechanicsville. Close to the Parkdale Market, the Ottawa River parkway and Hintonburg Community Centre. Shops and restaurants nearby. Built in the 1940s. Aquired by CCOC in 1987. Read more (http://ccochousing.org/index.php/ccoc_property/armstrong/).",171 Armstrong Street,,,,
,-75.691289,45.430067,145 Clarence Street,,,"4-story low-rise and rowhouse in Byward Market and Lowertown. Urban living in the heart of the ByWard Market. Close to shops, restaurants and services. Walk to the Rideau Centre. Great place to watch the fireworks on Canada Day! Built by CCOC in 1993. Read more (http://ccochousing.org/index.php/ccoc_property/145-clarence-street/).",145 Clarence Street,,,,
,-75.694454,45.410043,100 - 102 Flora Street,,,"Fourplex in Centretown. Heritage building near Bank Street. Close to schools, community centres, museum and parks. Built in the 1900s. Aquired by CCOC in 1978. Read more (http://ccochousing.org/index.php/ccoc_property/100-102-flora-street/).",100 - 102 Flora Street,,,,
,-75.697925,45.408529,202 Flora Street,,,"Triplex in Centretown. Heritage home on tree lined street in the heart of Centretown. Walk everywhere - shops, restaurants, services. Museums, parks & schools nearby. Close to major bus routes. Built in the 1910s. Aquired by CCOC in 1977.",202 Flora Street,,,,
,-75.695372,45.41208,41 Florence Street,,,"Triplex in Centretown. Heritage home on tree lined street. Close to Bank Street shops, restaurants and services. Built in the 1890s. Aquired by CCOC in 1977. Read more (http://ccochousing.org/index.php/ccoc_property/41-florence-street/).",41 Florence Street,,,,
,-75.695677,45.414099,415 Gilmour Street,,,"7-storey building in Centretown. This is urban living! Everything is at your door step - shops, services, restaurants... Walk to parks, museums, or ride your bike along the paths on the Canal or the Ottawa River parkway. Close to transit. Built by CCOC in 1992.Read more (http://ccochousing.org/index.php/ccoc_property/415-gilmour-street/).",415 Gilmour Street,,,,
,-75.697303,45.412536,388 - 390 Kent Street,,,"Double in Centretown. Heritage home a step away from Bank Street shops and services. Schools, churches and community centres nearby. Built in the 1930s. Aquired by CCOC in 1979.Read more (http://ccochousing.org/index.php/ccoc_property/kent/).",388 - 390 Kent Street,,,,
,-75.697689,45.412762,472 Gilmour Street,,,"Rowhouse in Centretown. Heritage home a few steps away from Bank Street. Close to shops, services, schools, churches and community centres. Built in the 1930s, acquired by CCOC in 1979. Read more (http://ccochousing.org/index.php/ccoc_property/gilmour-472-482/).",472 Gilmour Street,,,,
,-75.698483,45.412604,500 - 504 Gilmour Street,,,"Fourplex in Centretown. Charming heritage houses. Walk to Bank Street shops and services. Close to schools, parks & community centres. Built in 1905. Aquired by CCOC in 1977. Read more (http://ccochousing.org/index.php/ccoc_property/500-504-gilmour-street/).",500 - 504 Gilmour Street,,,,
,-75.70367,45.410514,706 - 712 Gilmour Street,,,"Large older Centretown rowhouses. Close to Bank Street shopping, restaurants and grocery store. Schools, parks and community centres within walking distance. Built in 1905. Aquired by CCOC in 1976. Read more (http://ccochousing.org/index.php/ccoc_property/706-712-gilmour-street/).",706 - 712 Gilmour Street,,,,
,-75.701922,45.408461,594 - 604 Gladstone Avenue,,,Rowhouse in Centretown. Large older Centretown homes across from McNabb Park and Recreation Centre. Walk to shops on Bank Street and in Chinatown. Schools nearby. Built in 1915. Aquired by CCOC in 1981. Read more (http://ccochousing.org/index.php/ccoc_property/594-604-gladstone-avenue/).,594 - 604 Gladstone Avenue,,,,
,-75.698955,45.417687,210 Gloucester Street.,,,"12-story building in Centretown. Urban living at the core. Walk to Parliament Hill, Bank Street shops and restaurants. Built by CCOC in 1985. Read more (http://ccochousing.org/index.php/ccoc_property/210-gloucester-street/).",210 Gloucester Street.,,,,
,-75.731431,45.408062,147 Hinchey Avenue,,,Stacked rowhouse in Hintonburg/Mechanicsville. Family friendly street close to Ottawa River parkway and the Parkdale Market. Built by CCOC in 1991. Read more (http://ccochousing.org/index.php/ccoc_property/147-hinchey-avenue/).,147 Hinchey Avenue,,,,
,-75.696155,45.412551,50 James Street,,,"Elevatored building in Centretown. Walk everywhere! Close to Bank Street shops, services and restaurants. Schools, churches and community centre with pool nearby. Built by CCOC in 1979.Read more (http://ccochousing.org/index.php/ccoc_property/50-james-street/).",50 James Street,,,,
,-75.697625,45.412031,90 James Street,,,Triplex in Centretown. Heritage houses on quiet tree-lined street. Close to shops and restaurants on Bank & Somerset Streets. Built in the 1890s. Aquired by CCOC in 1981. Read more (http://ccochousing.org/index.php/ccoc_property/90-james-street/).,90 James Street,,,,
,-75.697775,45.411948,92 James Street,,,Triplex in Centretown. Heritage houses on quiet tree-lined street. Close to shops and restaurants on Bank & Somerset Streets. Built in the 1890s. Aquired by CCOC in 1981.One of two buildings in CCOC's James Street property. Read more (http://ccochousing.org/index.php/ccoc_property/92-james-street/).,92 James Street,,,,
,-75.700194,45.411259,163 James Street,,,"Rooming house in Centretown. Heritage house on quiet tree-lined street. Close to transit, groceries, parks and shops. Built in the 1895s. Aquired by CCOC in 1985. Read more (http://ccochousing.org/index.php/ccoc_property/163-james-street/).",163 James Street,,,,
,-75.68269,45.417868,50 Waverley Street.,,,"Triplex in Centretown. Walking distance to Ottawa University, Elgin Street, the Rideau Centre and the ByWard Market. A stone&apos;s throw from the Rideau Canal, with jogging/ cycling paths. Close to Elgin Street Public School and Lisgar Collegiate. Built in the 1950s. Aquired by CCOC in 1978.  Read more (http://ccochousing.org/index.php/ccoc_property/50-waverley-street/).",50 Waverley Street.,,,,
,-75.694739,45.417642,258 Lisgar Street,,,"11-story building in Centretown. No car? No problem! Walk everywhere - Elgin Street restaurants, Bank Street shops and groceries, Jack Purcell Community Centre and pool. Museums, parks and schools nearby. Built in 1965. Aquired by CCOC in 1978. Read more (http://ccochousing.org/index.php/ccoc_property/258-lisgar-street/).",258 Lisgar Street,,,,
,-75.69505,45.417401,264 Lisgar Street,,,"11-story building in Centretown. No car? No problem! Walk everywhere - Elgin Street restaurants, Bank Street shops, groceries, Jack Purcell Community Centre and pool. Museums, parks and schools nearby. Built by CCOC in 1991. Read more (http://ccochousing.org/index.php/ccoc_property/264-lisgar-street/).",264 Lisgar Street,,,,
,-75.701326,45.415322,455 Lisgar Street,,,7-story building in Centretown. Urban architecture at its best. Walk to Bank Street shops and restaurants. Close to Parliament precinct and downtown offices. Built by CCOC in 1995. Read more (http://ccochousing.org/index.php/ccoc_property/455-lisgar-street/).,455 Lisgar Street,,,,
,-75.699931,45.413131,515 MacLaren Street,,,2-story walk-up in Centretown. Across the street from Dundonald Park. Currently leased to one of our community partners. Read more (http://ccochousing.org/index.php/ccoc_property/515-maclaren-street/).,515 MacLaren Street,,,,
,-75.700189,45.413169,341 Lyon Street,,,"2-story walk-up in Centretown. Across the street from Dundonald Park. Converted church, winner of City of Ottawa Heritage Award. Grocery store, retail and restaurants nearby. Built in the 1940s. Aquired by CCOC in 1989. Read more (http://ccochousing.org/index.php/ccoc_property/st-elijahs/).",341 Lyon Street,,,,
,-75.700886,45.408115,530 - 540 McLeod Street,,,Rowhouse on a family friendly street in downtown Ottawa. 1 block from large park & community centre. Schools & churches nearby. Convenient access to several major transit routes. Built in the 1910s. Aquired by CCOC in 1975. Read more (http://ccochousing.org/index.php/ccoc_property/530-540-mcleod-street/).,530 - 540 McLeod Street,,,,
,-75.700977,45.408077,542-544 McLeod Street,,,Double on a family friendly street in downtown Ottawa. 1 block from large park & community centre. Schools & churches nearby. Convenient access to several major transit routes. Built in the 1910s. Aquired by CCOC in 1975.One of two buildings in CCOC's McLeod Street property. Read more (http://ccochousing.org/index.php/ccoc_property/542-544-mcleod-street/).,542-544 McLeod Street,,,,
,-75.701321,45.408273,539 McLeod Street,,,Duplex in Centretown. Heritage house on family friendly street in downtown Ottawa. . Walk to shops on Bank Street and Somerset Streets. 1 block from large park & community centre. Schools & churches nearby. Convenient access to several major transit routes. Built in 1900. Aquired by CCOC in 1976. Read more (http://ccochousing.org/index.php/ccoc_property/539-mcleod-street/).,539 McLeod Street,,,,
,-75.685287,45.430646,110 Nelson Street,,,7-story building in Byward Market and Lowertown. Walk to the Bytowne Cinema. Steps away from large grocery store and Rideau Street shopping. Watch the Canada Day fireworks from the roof top gardens. Built by CCOC in 1989. Read more (http://ccochousing.org/index.php/ccoc_property/110-nelson-street/).,110 Nelson Street,,,,
,-75.732923,45.407497,151 Parkdale Avenue,,,7-story building in Hintonburg/Mechanicsville. Walk to the Parkdale Farmers&apos; Market. Across from Tunney&apos;s Pasture. Close to transit and the Ottawa River cycling and walking paths. Close to schools and the Rosemount Library. Built by CCOC in 1993. Read more (http://ccochousing.org/index.php/ccoc_property/151-parkdale-avenue/).,151 Parkdale Avenue,,,,
,-75.655916,45.422801,240 Presland Road,,,4-story walk-up in Overbrook. Quiet residential neighbourhood. Built by CCOC in 1988.  Read more (http://ccochousing.org/index.php/ccoc_property/240-presland-road/).,240 Presland Road,,,,
,-75.675255,45.442067,82 Putman Avenue,,,"Fourplex in New Edinburgh. Quiet residential neighbourhood close to restaurants, large grocery store, cafÌ©s. Transit nearby. Built in the 1940s. Aquired by CCOC in 1990. Read more (http://ccochousing.org/index.php/ccoc_property/82-84-putnam-avenue/).",82 Putman Avenue,,,,
,-75.702496,45.411504,"598 - 616 MacLaren Street, 625 - 631 Gilmour Street",,,Stacked rowhouse in Centretown. Winner of the 1981 Canadian Housing Design Council award for residential design. Family friendly complex 1 block from McNabb Park and Recreation Centre. Walk to Chinatown and Bank Street shops and restaurants. Built by CCOC in 1980. Read more (http://ccochousing.org/index.php/ccoc_property/percy-school/).,"598 - 616 MacLaren Street, 625 - 631 Gilmour Street",,,,
,-75.667058,45.417921,20 Robinson Avenue,,,"3-story walk-up in Sandy Hill. Close to Ottawa University, cycling paths and Transitway. Built by CCOC in 1986. Read more (http://ccochousing.org/index.php/ccoc_property/20-robinson-avenue/).",20 Robinson Avenue,,,,
,-75.667616,45.428546,10 Stevens Avenue,,,4-story apartment building in Overbrook. Live by the Rideau River! 1 block from large grocery store. Cycling path and playground nearby. Built by CCOC in 1991. Read more (http://ccochousing.org/index.php/ccoc_property/10-stevens-avenue/).,10 Stevens Avenue,,,,
,-75.674515,45.431087,369 Stewart Street,,,3-story rooming house in Sandy Hill. Great location for Ottawa University students. Close to groceries and retail. Built in 1895. Aquired by CCOC in 1987. Read more (http://ccochousing.org/index.php/ccoc_property/369-stewart-avenue/).,369 Stewart Street,,,,
,-75.692657,45.414004,345 Waverley Street,,,"7-story apartment building in Centretown. 1 block from Bank Street. Close to groceries, restaurant, retail and offices. Built in 1965. Aquired by CCOC in 1982. Read more (http://ccochousing.org/index.php/ccoc_property/345-waverley-street/).",345 Waverley Street,,,,
,-75.713326,45.412348,746 - 760 Albert Street,,,"Rowhouse in Dalhousie. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built by CCOC in 1981. Read more (http://ccochousing.org/index.php/ccoc_property/albert-rochester/).",746 - 760 Albert Street,,,,
,-75.712661,45.412449,170 Booth Street,,,"5-story building in Dalhousie. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built by CCOC in 1981.Read more (http://ccochousing.org/index.php/ccoc_property/170-booth-street/).",170 Booth Street,,,,
,-75.712119,45.411519,220-222 Booth Street & 129-131 Primrose,,,"Fourplex in Dalhousie. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built in the 1890s. Aquired by CCOC in 1982.Part of CCOC's Booth & Primrose property. Read more (http://ccochousing.org/index.php/ccoc_property/booth-primrose-2/).",220-222 Booth Street & 129-131 Primrose,,,,
,-75.71228,45.411496,133 Primrose,,,"Single family home in Dalhousie. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built in the 1890s. Aquired by CCOC in 1982.Part of CCOC's Booth & Primrose property. Read more (http://ccochousing.org/index.php/ccoc_property/english-133-primrose/).",133 Primrose,,,,
,-75.7133,45.411692,29 Rochester,,,"Duplex in Dalhousie. Walk to the riverbank! Shop & eat in Chinatown & Little Italy. 1 minute from Transitway and cycling paths. Parks, Plant Recreation Centre and playground nearby. Built in the 1930s. Aquired by CCOC in 1981. One of two buildings in CCOC's Rochester Street property. Read more (http://ccochousing.org/index.php/ccoc_property/29-rochester-street/).",29 Rochester,,,,
,-75.713219,45.411489,33 Rochester Street,,,"3-storey walk-up in Dalhousie. Walk to the riverbank! Shop & eat in Chinatown & Little Italy. 1 minute from Transitway and cycling paths. Parks, Plant Recreation Centre and playground nearby. Built in the 1930s. Aquired by CCOC in 1981. Read more (http://ccochousing.org/index.php/ccoc_property/33-rochester-street/).",33 Rochester Street,,,,
,-75.71243,45.411436,135 Primrose,,,"Duplex in Dalhousie. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built in the 1890s. Aquired by CCOC in 1982.One of three buildings in CCOC's Booth & Primrose property. Read more (http://ccochousing.org/index.php/ccoc_property/135-primrose-avenue/).",135 Primrose,,,,
,-75.708568,45.412265,54 Primrose Avenue,,,"Apartment building in Dalhousie, with 29 bachelor apartments. Close to the path along the Ottawa River parkway and major transit way. Chinatown & Little Italy close by. Plant Pool Recreation Centre, schools and churches nearby. Built in the 1930s, and acquired by CCOC in 2010. Read more. (http://ccochousing.org/index.php/ccoc_property/54-primrose/)",54 Primrose Avenue,,,,
,-75.712774,45.408371,143 - 145 Eccles Street,,,"2-story semi-detached in Dalhousie. Close to Chinatown and Little Italy shops, restaurants and services. Plant Pool Recreation Centre nearby. Built in the 1900s. Aquired by CCOC in 1998.Read more (http://ccochousing.org/index.php/ccoc_property/143-145-eccles-street/).",143 - 145 Eccles Street,,,,
