source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-97.1957998,49.9545692,Meadow Gardens Housing Co-operative (Man.) Ltd.,Co-operative Housing,,,Please call (204) 694-4024 for more details about this property.,"2 Old Commonwealth Path,  Winnipeg, Manitoba R2R 2E9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.8790103,55.7443427,Northern Harmony Housing Co-operative Limited,Co-operative Housing,,,Please call (204) 677-4497 for more details about this property.,"15 Arctic Drive,  Thompson, Manitoba R8N 1S5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1678794,49.8764539,Oikos Housing Co-operative Inc.,Co-operative Housing,,,Please call (204) 996-4507 for more details about this property.,"697 Wellington Crescent,  Winnipeg, Manitoba R3M 0A7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.169802,49.8835491,Old Grace Housing Co-operative ltd.,Co-operative Housing,,,"The co-op's design both reflects the scale and character of the homes in this well-established community and exceeds Canadian standards for environmental sustainability. The co-operative is committed to providing affordable housing, is open to individuals and families, and is pet-friendly.","200 Arlington St,  Winnipeg, Manitoba R3G 0W6",60,www.oldgracehousingcoop.ca,
,-99.9551791,49.8295068,Parkview Seniors Housing Co-operative,Co-operative Housing,,,,"1321 - 13th Street, #1,  Brandon, Manitoba R7A 4S5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1526012,49.8947871,Payuk Inter-Tribal Housing Co-operative,Co-operative Housing,,,Please call (204) 942-0991 for more details about this property.,"500 Balmoral Street, #100,  Winnipeg, Manitoba R3B 2P8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1490996,49.8159164,Pembina Woods Housing Co-operative,Co-operative Housing,,,,"81 University Crescent,  Winnipeg, Manitoba R3T 4W9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1347122,49.8984279,Prairie Housing Co-operative,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"113 Market Avenue,  Winnipeg, Manitoba R3B 0P5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1180025,49.9284047,Rosh Pina Housing Co-operative,Co-operative Housing,,,Please call (204) 338-4671 for more details about this property.,"133 Matheson Avenue East,  Winnipeg, Manitoba R2W 5M7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1387405,49.9509582,Seven Oaks Gardens Housing Co-operative,Co-operative Housing,,,,"15 Jack Donner Drive,  Winnipeg, Manitoba R2V 3N1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1835472,49.9485997,Seven Oaks Village Housing Co-operative,Co-operative Housing,,,Please call (204) 694-4497 for more details about this property.,"100-474 Mandalay Dr,  Winnipeg, Manitoba R2P 2C8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.163712,49.8603409,Shalom Gardens Housing Co-operative Ltd.,Co-operative Housing,,,,"360 Wilton Street,  Winnipeg, Manitoba R3M 3X6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1920434,49.8875649,Solidarity Place Housing Co-operative,Co-operative Housing,,,,"1401 Wolever Avenue,  Winnipeg, Manitoba R3G 3N7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1395495,49.8718659,South Osborne Housing Co-operative,Co-operative Housing,,,,"360 Osborne Street, #100,  Winnipeg, Manitoba R3L 2V6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-99.294104,49.556692,Spirit Sands Housing Co-operative,Co-operative Housing,,,,"114 Miles Street,  Glenboro, Manitoba R0K 0X0",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-98.8138762,53.7608608,Springfield Seniors Non-Profit Housing Co-operative Inc.,Co-operative Housing,,,,,,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-99.9511262,49.871532,Spruce Woods Housing Co-operative,Co-operative Housing,,,,"930 Braecrest Drive,  Brandon, Manitoba R7A 6S1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-101.2375828,53.8239902,The Pas Valhalla Co-operative Ltd.,Co-operative Housing,,,Please call (204) 623-2849 for more details about this property.,"525 Fafard Avenue,  The Pas, Manitoba R9A 1M9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.837293,55.7392756,Thompson Lions Seniors Manor Non-Profit Housing,Co-operative Housing,,,,"509 Station Road,  Thompson, Manitoba R8N",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1552738,49.9507105,Tranquillity Place Housing Co-operative,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"151 Watson Street,  Winnipeg, Manitoba R2W 2Z1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.2937323,49.8617256,Westboine Park Housing Co-operative,Co-operative Housing,,,Please call (204) 885-5125 for more details about this property.,"32 Shelmerdine Drive,  Winnipeg, Manitoba R3R 2Y2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-99.9766448,49.8393113,Western Manitoba Seniors Non-Profit Housing Co-operative Inc.,Co-operative Housing,,,Please call (204) 725-2667 for more details about this property.,"620 McDiarmid,  Brandon, Manitoba R7B 2H5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1606227,49.8827004,Westminster Housing Co-operative (MB),Co-operative Housing,,,,"145 Maryland Street,  Winnipeg, Manitoba R3G 1K9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1880498,49.9172363,Weston Residence Housing Co-operative,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"1528 Roy Avenue,  Winnipeg, Manitoba R2E 1E8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1884169,49.9353357,Willow Park East Housing Co-op Ltd.,Co-operative Housing,,,Please call (204) 633-5951 for more details about this property.,"61 Tyndall Avenue,  Winnipeg, Manitoba R2X 2T4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1918764,49.9379631,Willow Park Housing Co-operative (Mb),Co-operative Housing,,Willow Park Housing Co-Op Ltd,"Willow Park Housing Co-op Ltd is a housing development designed as single family units for the sole use of our members and their families. Willow Park Consists of 200 homes, owned and managed by the members that live in the homes of Willow Park.

Please call (204) 632-0746 for more details about this property.","3-71 Dorset Street,  Winnipeg, Manitoba R2X 2R8",200,http://www.willowparkhousingcoop.com/index.html,
http://www.vccl.ca/,-97.116411,49.8189002,River Rd/St. Mary's Rd,Co-operative Housing,,Village Canadien Housing Cooperative,"150 Units Located at River Road and St Mary's Rd.  Units include 2, 3 and 4 Bedroom Townhomes

Please call (204) 257-2501 for more details about this property.","730 River Road,  Winnipeg, Manitoba R2M 5A4",150,http://www.vccl.ca/river-rdst-marys-rd.html,
,-97.094464,49.8338028,Meadowood Place,Co-operative Housing,,Village Canadien Housing Cooperative,"73 Units Located on Meadowood Dr.  Units include 3 and 4 Bedroom Townhomes (Mobility and Non-Mobility Units) and 1, 2 and 3 Bedroom Apartments.","525 Meadowood Drive Winnipeg MB, R2M 5C1",73,http://www.vccl.ca/meadowood-place.html,
,-96.8956239,50.1393468,,Co-operative Housing,,Village Canadien Housing Cooperative,"8 Units Located on Strathnaver Ave in Selkirk, Manitoba.  All units are 3 Bedroom Townhomes.","623a Strathnaver Ave
Selkirk, MB R1A 0J3",8,http://www.vccl.ca/maurepaus-village-housing-coop.html,
https://www.carpathiahousing.coop/,-97.204103,49.86313,Carpathia Housing Co-operative – Carpathia Road,Co-operative Housing,,Carpathia Housing Co-op Ltd.,"A 152 unit townhouse complex situated in the beautiful River Heights area. Choose from two, three, four, or five bedroom plans.","394 Carpathia Road,  Winnipeg, Manitoba R3N 1Y4",152,https://www.carpathiahousing.coop/our-units/#carpathia-units,
,-97.2157689,49.8524937,Carpathia Housing Co-operative – Swindon Way,Co-operative Housing,,Carpathia Housing Co-op Ltd.,"A 63 unit apartment block situated in the elegant and affluent area of Tuxedo. Choose from two, two bedroom mobility or three bedroom plans.","88 Swindon Way
Winnipeg, MB R3P 1V6",63,https://www.carpathiahousing.coop/our-units/#swindon-units,
https://www.sam.mb.ca/find-a-home/search,-97.0860389,49.8426766,395 Beaverhill Boulevard,Non-Profit,,Agape Villa Inc.,,"395 Beaverhill Blvd, Winnipeg, MB R2J 4G2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/395-beaverhill-boulevard,
,-97.1056600,49.8366776,166 Beliveau Road,Non-Profit,,Anavet Lodge,,"166 Beliveau Rd, Winnipeg, MB R2M 1S9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/166-believeu-road-anavet,
,-97.1584460,49.8855594,222 Furby Street,Non-Profit,,Artemis Housing Cooperative Ltd.,,"222 Furby St, Winnipeg, MB R3C, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/222-furby-street,
,-97.1430960,49.7642140,80 St. Pierre Street,Non-Profit,,Chalet St. Norbert,,"80 Rue St Pierre Street, Winnipeg, MB R3V 1J8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/80-st-pierre-street,
,-97.1586940,49.8870999,279 Sherbrook Street,Non-Profit,,Greenheart Housing Co-op,,"279 Sherbrook St, Winnipeg, MB R3C 2B8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/279-sherbrook-street,
,-97.3140314,49.8917565,475 Hamilton Avenue,Non-Profit,,Hamilton House,,"475 Hamilton Ave, Winnipeg, MB R2Y 2G5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/475-hamilton-avenue,
,-97.2051492,49.8540322,1 &amp; 21 Boulton Bay,Non-Profit,,Haven II,,"21 Boulton Bay, Winnipeg, MB R3N, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/1-21-boulton-bay,
,-97.1507602,49.9027736,527 William Avenue,Non-Profit,,Living Gospel Church Family Place,,"527 William Ave, Winnipeg, MB R3A 0J7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/527-william-avenue,
,-97.1523699,49.8866189,200 Good Street,Non-Profit,,Manitoba Housing,,"200 Good St, Winnipeg, MB R3C 1W7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/200-good-street,
,-97.1522356,49.9148457,631 Dufferin Avenue Units A to G,Non-Profit,,Manitoba Housing,,"631 Dufferin Ave, Winnipeg, MB R2W 2Z1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/631-dufferin-avenue-units,
,-97.1792370,49.8832532,533 Greenwood Place,Non-Profit,,McClure Place Inc.,,"533 Greenwood Pl, Winnipeg, MB R3G 3M1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/533-greenwood-place,
,-97.1013964,49.8533352,275 St. Anne's Road,Non-Profit,,Mike Sunka Place,,"275 St Anne's Rd, Winnipeg, MB R2M 4V1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/275-st-annes-road,
,-97.1417592,49.9415910,865 Sinclair Street,Non-Profit,,Monash Manor,,"865 Sinclair St, Winnipeg, MB R2V 3H3, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/865-sinclair-street,
,-97.1526012,49.8947871,500 Balmoral Street,Non-Profit,,Payuk Inter-Tribal Housing Co-op,,"500 Balmoral St, Winnipeg, MB R3B 2P8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/500-balmoral-street,
,-97.1564620,49.7867131,2900 Pembina Highway,Non-Profit,,Richmond Gardens,,"2900 Pembina Hwy, Winnipeg, MB R3T 3Z3, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/2900-pembina-highway,
,-97.1300920,49.9131599,146 Magnus Ave,Non-Profit,,River Point Centre,,"146 Magnus Ave, Winnipeg, MB R2W 2B3, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/146-magnus-avenue,
,-97.1373584,49.8701867,400 Osborne Street,Non-Profit,,Riverbend Plaza Inc.,,"400 Osborne St, Winnipeg, MB R3L 2W1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/400-osborne-street,
,-97.2194855,49.8765037,140 Ferry Road,Non-Profit,,S.A.M. (Colorado) Inc.,,"140 Ferry Rd, Winnipeg, MB R3J 1V7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/140-ferry-road,
,-97.1518247,49.9033538,154 Kate Street,Non-Profit,,S.A.M. (Properties) Inc.,,"154 Kate St, Winnipeg, MB R3A 1K2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/154-kate-street,
,-97.1605926,49.8903532,374 Maryland Street,Non-Profit,,S.A.M. (Properties) Inc.,,"374 Maryland St, Winnipeg, MB R3G 1M3, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/374-maryland-street,
,-97.1600009,49.8913709,409 Maryland Street,Non-Profit,,S.A.M. (Properties) Inc.,,"409 Maryland St, Winnipeg, MB R3G 1M1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/409-maryland-street,
,-97.1520074,49.9047716,592 Ross Avenue,Non-Profit,,S.A.M. (Properties) Inc.,,"592 Ross Ave, Winnipeg, MB R3A 0M1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/592-ross-avenue,
,-97.1586343,49.8414426,1321-1325 Beaumont Street,Non-Profit,,S.A.M. Properties (Holdings) Inc.,,"1321 Beaumont St, Winnipeg, MB R3T 5E5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/1321-1325-beaumont-street,
,-97.1161860,49.8272704,64 Glen Meadow Street,Non-Profit,,S.A.M. Properties (Holdings) Inc.,,"64 Glen Meadow St, Winnipeg, MB R2M 4K8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/64-glen-meadow-street,
,-97.1584835,49.7844363,21 Newdale Avenue,Non-Profit,,S.A.M. Properties (Holdings) Inc.,,"21 Newdale Ave, Winnipeg, MB R3T 4G9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/21-newdale-avenue,
,-97.1562019,49.8162430,26 Gaylene Place,Non-Profit,,S.A.M. Properties (Holdings) Inc.,,"26 Gaylene Pl, Winnipeg, MB R3T 4G7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/26-gaylene-place,
,-97.0896924,49.8358094,571 St. Anne's Road,Non-Profit,,Seine River Haven,,"571 St Anne's Rd, Winnipeg, MB, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/571-st-annes-road,
,-97.1395495,49.8718659,360 Osborne Street,Non-Profit,,South Osborne Place,,"360 Osborne St, Winnipeg, MB R3L 1Z8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/360-osborne-street,
,-97.1452771,49.9022744,425 Elgin Avenue,Non-Profit,,St. Andrew's Place Inc.,,"425 Elgin Ave, Winnipeg, MB R3A 1P2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/425-elgin-avenue,
,-97.2707273,49.8866399,2730 Ness Avenue,Non-Profit,,St. James Legion Lodge,,"2730 Ness Ave, Winnipeg, MB R3J 1A7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/2730-ness-avenue,
,-97.2916744,49.8600662,5419 Roblin Blvd.,Non-Profit,,Swedish Canadian Homes,,"5419 Roblin Blvd, Winnipeg, MB R3R 0G8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/5419-roblin-blvd,
,-97.0034802,49.8957082,110 Victoria Avenue W,Non-Profit,,Transcona Place - Life Lease,,"110 Victoria Ave W, Winnipeg, MB R2C 1S5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/110-victoria-avenue-w,
,-97.0034802,49.8957082,110 Victoria Ave W,Non-Profit,,Transcona Place - Rental,,"110 Victoria Ave W, Winnipeg, MB R2C 1S5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/110-victoria-ave-w,
,-97.2915417,49.8624468,5445 Roblin Blvd.,Non-Profit,,Vasa Lund Estates Inc.,,"5445 Roblin Blvd, Winnipeg, MB R3R 3W7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/5445-roblin-blvd,
,-97.1634169,49.8857822,777 Honeyman Avenue,Non-Profit,,Westminster Housing Society Inc.,,"777 Honeyman Ave, Winnipeg, MB R3G 0X9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/777-honeyman-avenue,
,-97.1606309,49.8834239,165 Maryland Street,Non-Profit,,Westminster Housing Society Inc.,,"165 Maryland St, Winnipeg, MB R3G 1K9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/165-maryland-street,
,-97.1615554,49.8836346,11 Alloway Avenue,Non-Profit,,Westminster Housing Society Inc.,,"11 Alloway Ave, Winnipeg, MB R3G 0Z7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/11-alloway-avenue,
,-97.1528947,49.8883862,265 Balmoral Street,Non-Profit,,Westminster Housing Society Inc.,,"265 Balmoral St, Winnipeg, MB R3C 1X7, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/265-balmoral-street,
,-97.1604263,49.8849696,203 Maryland Street,Non-Profit,,Westminster Housing Society Inc.,,"203 Maryland St, Winnipeg, MB R3G 1L4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/203-maryland-street,
,-97.1627582,49.8859368,762 Broadway Avenue,Non-Profit,,Westminster Housing Society Inc.,,"762 Broadway, Winnipeg, MB R3G 0X3, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/762-broadway-avenue,
,-97.1603410,49.8851418,209 Maryland Street,Non-Profit,,Westminster Housing Society Inc.,,"209 Maryland St, Winnipeg, MB R3G 1L4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/209-maryland-street,
,-97.1578837,49.8806910,65 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"65 Furby St, Winnipeg, MB R3C 2A2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/65-furby-street,
,-97.1579962,49.8871016,276/278 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"276-278 Furby St, Winnipeg, MB R3C 2A9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/276278-furby-street,
,-97.1579208,49.8875149,294-296 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"294 Furby St, Winnipeg, MB R3C 2A9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/294-296-furby-street,
,-97.1575055,49.8871904,283 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"283 Furby St, Winnipeg, MB R3C 2A8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/283-furby-street,
,-97.1573158,49.8872249,287 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"287 Furby St, Winnipeg, MB R3C 2A8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/287-furby-street,
,-97.1572480,49.8874039,299 Furby Street,Non-Profit,,Westminster Housing Society Inc.,,"299 Furby St, Winnipeg, MB R3C 2A8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/299-furby-street,
,-97.1570470,49.8806100,68 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"68 Langside St, Winnipeg, MB R3C 1Z2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/68-langside-street,
,-97.1570619,49.8806660,70 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"70 Langside St, Winnipeg, MB R3C 1Z2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/70-langside-street,
,-97.1569729,49.8824010,124-126 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"124 Langside St, Winnipeg, MB R3C 1Z4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/124-126-langside-street,
,-97.1563840,49.8825590,131 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"131 Langside St, Winnipeg, MB R3C 1Z5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/131-langside-street,
,-97.1568977,49.8835037,162 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"162 Langside St, Winnipeg, MB R3C 1Z4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/162-langside-street,
,-97.1561470,49.8878130,309 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"309 Langside St, Winnipeg, MB R3C 1Z9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/309-langside-street,
,-97.1569528,49.8825357,128/130 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"128-130 Langside St, Winnipeg, MB R3C 1Z4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/128130-langside-street,
,-97.1559248,49.8983936,664 Langside Street,Non-Profit,,Westminster Housing Society Inc.,,"664 Langside St, Winnipeg, MB R3B 2T8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/664-langside-street,
,-97.1545918,49.8862201,182 Spence Street,Non-Profit,,Westminster Housing Society Inc.,,"182 Spence St, Winnipeg, MB R3C 1Y4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/182-spence-street,
,-97.1540085,49.8864461,189 Spence Street,Non-Profit,,Westminster Housing Society Inc.,,"189 Spence St, Winnipeg, MB R3C 1Y5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/189-spence-street,
,-97.1545577,49.8870668,214 Spence Street,Non-Profit,,Westminster Housing Society Inc.,,"214 Spence St, Winnipeg, MB R3C 1Y4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/214-spence-street,
,-97.1539383,49.8871855,217 Spence Street,Non-Profit,,Westminster Housing Society Inc.,,"217 Spence St, Winnipeg, MB R3C 1Y5, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/217-spence-street,
,-97.1588510,49.8973770,624 Sherbrook Street,Non-Profit,,Westminster Housing Society Inc.,,"624 Sherbrook St, Winnipeg, MB R3B 2X1, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/624-sherbrook-street,
,-97.1581064,49.8979656,647 Sherbrook Street,Non-Profit,,Westminster Housing Society Inc.,,"647 Sherbrook St, Winnipeg, MB R3B 2X2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/475-hamilton-ave,
,-97.1507674,49.9016200,517 Bannatyne Street,Non-Profit,,Westminster Housing Society Inc.,,"517 Bannatyne Ave, Winnipeg, MB R3A 0G4, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/517-bannatyne-street,
,-97.0838502,49.8426766,395 Beaverhill Boulevard,Non-Profit,,Agape Villa Inc.,,"395 Beaverhill Blvd, Winnipeg, MB R2J 4G2, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/395-beaverhill-boulevard,
,-97.1056600,49.8366776,166 Beliveau Road,Non-Profit,,Anavet Lodge,,"166 Beliveau Rd, Winnipeg, MB R2M 1S9, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/166-believeu-road-anavet,
,-97.1584460,49.8855594,222 Furby Street,Non-Profit,,Artemis Housing Cooperative Ltd.,,"222 Furby St, Winnipeg, MB R3C, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/222-furby-street,
,-97.1430960,49.7642140,80 St. Pierre Street,Non-Profit,,Chalet St. Norbert,,"80 Rue St Pierre Street, Winnipeg, MB R3V 1J8, Canada",,https://www.sam.mb.ca/find-a-home/property-detail/80-st-pierre-street,
