source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
,-114.1824498,51.1186641,Springhill Ranch Housing Co-operative,Co-operative Housing,,,"29a 1216 Ranchview Road North West, Calgary, Alberta T3G 1Y2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-117.1076669,56.2044625,St. Isidore Housing Co-operative Ltd.,Co-operative Housing,,,"Box 1250, St.Isidore, Alberta T0H 3B0",20,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.5103989,53.5231206,Strathcona Housing Co-operative (AB),Co-operative Housing,,"Welcome to the Strathcona Housing Co-operative located on 86 Avenue and 108A Street in Edmonton, Alberta. We are a family friendly co-op next to the river valley with walking trails, fitness centre/pool, shopping and the University nearby.","108a Street, Edmonton, Alberta T6E 4M7",22,https://sites.google.com/site/strathconahousingcoop/,
,-113.5781504,53.5406082,Summit Village Housing Co-operative Ltd.,Co-operative Housing,,,"149 Street, Edmonton, Alberta T5P 4V7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.464694,53.5435174,Sundance Housing Co-operative Ltd.,Co-operative Housing,,,"60 Sundance 100 Ave. & 87 Street, Edmonton, Alberta T5H 4B4",59,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0702739,51.058818,Sunnyhill Housing Co-operative Ltd.,Co-operative Housing,,,"787 Third Street NW, Calgary, Alberta T2N 1P1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4567022,53.4681961,Synergen Housing Co-operative Ltd.,Co-operative Housing,,,"426 Richfield Road, Edmonton, Alberta T6K 3S8",44,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4632403,53.4624938,Universal Housing Co-operative Ltd.,Co-operative Housing,,,"31st Avenue, Edmonton, Alberta T6L 6R3",48,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.155009,51.03989,West Heritage Manor Housing Co-operative Ltd.,Co-operative Housing,,,"84a Westwood Terrace South West, Calgary, Alberta T3C 3T6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0545174,51.1027567,West Scenic Acres Housing Co-operative Ltd.,Co-operative Housing,,,"435 Beaver Dam Road North East, #111, Calgary, Alberta T2K 6J9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.153004,51.0126047,Whippletree West Housing Co-operative Ltd.,Co-operative Housing,,,"4545 45th Street South West, Calgary, Alberta T3E 3W3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
https://nacha.ca/co-op-info/co-op-listings/,-113.4762925,53.5447504,ARTSPACE,Co-operative Housing,,"66 Apartments 22 Townhouses  Support staff on site  2, 3, 4, & 5 bedrooms,  2 appliances. Office: 780-426-3472  Fax 780-421-0270  artspacehousing@shaw.ca  www.artspacehousing.ca. Some mobility adapted units  View by appointment:  8:30 – 3:00 pm Mon-Fri.  Just up from Riverdale.","100-9330 101A Ave, Edmonton, AB T5H 0C3, Canada",66,https://nacha.ca/co-op-info/co-op-listings/,
,-113.4899823,53.5554729,INN ROADS,Co-operative Housing,,"5 Houses (14 suites)  1 communal with 12 single  3 bedroom in other houses. Ans. Machine: 780-424-9672. North central, In McCauley area.","9643 109 Ave NW, Edmonton, AB T5H 1C9, Canada",5,https://nacha.ca/co-op-info/co-op-listings/,
,-113.4676414,53.5163086,LE QUARTIER DU COLLEGE,Co-operative Housing,,"22 Scattered duplex units  2 & 3 bedrooms, 4 appliances. Apply in writing to Co-op. Bonnie Doon  All business in French..","8006 91 St, Edmonton, AB T6C 4M1, Canada",22,https://nacha.ca/co-op-info/co-op-listings/,
,-113.4687306,53.5436332,SUNDANCE PLACE,Co-operative Housing,,"9 Apartments, 55+years  1 & 2 bedrooms, 5 appliances. Ans. Machine: 780-426-0860  www.sundancecoop.org. Riverdale area  Adapted units.","8803 101 Ave NW, Edmonton, AB T5H 0A9, Canada",9,https://nacha.ca/co-op-info/co-op-listings/,
,-113.5768746,53.5408696,SUMMIT VILLAGE,Co-operative Housing,,"86 Apartments, elevated,  55+years, 1 & 2 bedrooms,  2 appliances & laundry facilities. Waiting List Closed  Office: 780-455-8686. West,  Jasper Place area.","10041 149 St NW, Edmonton, AB T5P 4V7, Canada",86,https://nacha.ca/co-op-info/co-op-listings/,
